InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
234,kumi1248,,Tipai,miller1990jamultipai,,Eitan Grossman,,
235,tlac1235,,Tlachichilco Tepehua,watters1988tlachichilcotepehua,,Eitan Grossman,,
236,tond1251,,Tondano,brickell2014tondano,,Einav Levanon,,
237,toto1305,,Totontepec Mixe,elson1992mixezoque,,Eitan Grossman,,
238,jeme1245,,Towa,yumitani1998jemeztowa,,Eitan Grossman,,
239,tsha1245,,Tshangla,andvik2010tshangla,,Elad Eisen,,
241,tuni1252,,Tunica,Haas1941,tun_SPA1979_phon.pdf,Steven Moran,,80
242,turk1303,,Turkic Khalaj,doerfer1988khalaj,,Dmitry Nikolaev,,
243,nucl1301,,Turkish,kornfilt1997turkish,,Elad Eisen,,
244,turk1304,,Turkmen,hoey2013turkmen,,KurdistanDB,,
245,turo1239,,Turoyo,jastrow2011turoyomlahso,,KurdistanDB,,
246,tzut1248,,Tz'utujil,tzutujil1981dayley,,Eitan Grossman,,
247,tzel1254,,Tzeltal,Kaufman1971,tzh_SPA1979_phon.pdf,Steven Moran,,86
248,udmu1245,,Udmurt,perevoschikov1962udmurt,,Dmitry Nikolaev,,
249,ughe1237,,Ughele,frostad2013ughele,,NA,,
250,uigh1240,,Uighur,"hahn1998uyghur, hahn2006uyghur",,NA,,
251,ukra1253,,Ukrainian,shevelov1993ukrainian,,Chingduang Yurayong,,
252,hert1241,umra1238,Umraya,hobrack2000umraya,,KurdistanDB,,
253,urar1246,,Urarina,olawsky2006urarina,olawsky2006urarina.pdf,NA,,
254,nort2690,,Uzbek,boeschoten1998uzbek,,Dmitry Nikolaev,,
255,vafs1240,,Vafsi,stilo2004vafsi,,KurdistanDB,,
256,waim1255,,Waimaha,StolteStolte1971,mlt_SPA1979_phon.pdf,Steven Moran,,114
257,wano1243,,Wano,burung2007wano,,Einav Levanon,,
258,want1252,,Wantoat,dangepnana2012wantoat,,Einav Levanon,,
259,wara1302,,Warapu,corris2005warapu,,Einav Levanon,,
260,wels1247,,Welsh,awbery2012welsh,,Elad Eisen,,
261,west2548,,West Damar,chlenova2008westdamar,,Einav Levanon,,
262,west2392,,Western Mari,alhoniemi1993mari,,Daria Zhornik,,
263,moro1287,,Wita Ea,andersen1999witaea,,Einav Levanon,,
264,wutu1241,,Wutunhua,sandman2016wutun,,Heini Arjava,,
265,yane1238,,Yanesha',adelaar2007yanesha,adelaar2007yanesha.pdf,Eitan Grossman,,
266,yima1243,,Yimas,foley1991yimas,,Einav Levanon,,
267,gura1251,,Zarda Gorani,mahmoudveysi2013zardagorani,,KurdistanDB,,
268,chuv1255,,Chuvash,"Kruger1961,Andreev1966",chv_SPA1979_phon.pdf,Steven Moran,,189
269,ewee1241,,Ewe,"Stahlke1970,Berry1951,Ansre1961,Ladefoged1964",ewe_SPA1979_phon.pdf,Steven Moran,,142
270,finn1318,,Finnish,"Lehtinen1964,Harms1964,Austerlitz1967,Hammarberg1974,Kiparsky1968,Harms1966",fin_SPA1979_phon.pdf,Steven Moran,,180
271,nucl1643,,Japanese,"Bloch1950,Martin1952,Jorden1963",jpn_SPA1979_phon.pdf,Steven Moran,,197
272,halh1238,,Halh Mongolian,"Hangin1968,Luvsanvandan1964,Street1963",khk_SPA1979_phon.pdf,Steven Moran,,191
273,hind1269,,Hindi,"Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969",hin_SPA1979_phon.pdf,Steven Moran,,176
274,komi1268,,Komi-Zyrian,"Lytkin1966,Bubrich1949",kpv_SPA1979_phon.pdf,Steven Moran,,182
